Triggers Required,Base Mult,Target Base Mult,Calculated Score,Logarithmic Distance,Relative Precision,Steel Cards in Hand,Non-Steel Cards in Hand,Total Cards in Hand,Copy Jokers on Baron,Copy Jokers on Mime,Triggers per Steel Card,Triggers per Non-Steel Card,Triggers from Cards,Triggers from Jokers,Total Triggers
823,3200969770.8543,3200969770,1.79769313390275E+308,0.00000000023180746211,9.6349,41,0,41,2,2,20,15,820,3,823
822,4801454656.2815,4801454656,1.79769313465156E+308,0.00000000005093170330,10.2930,41,0,41,2,2,20,15,820,2,822
821,7202181984.4222,7202181984,1.79769313465156E+308,0.00000000005093170330,10.2930,41,0,41,2,2,20,15,820,1,821
820,10803272976.6333,10803272976,1.79769313465156E+308,0.00000000005093170330,10.2930,41,0,41,2,2,20,15,820,0,820
819,16204909464.9499,16204909464,1.79769313465156E+308,0.00000000005093170330,10.2930,40,1,41,3,1,20,16,816,3,819
818,24307364197.4248,24307364197,1.79769313479948E+308,0.00000000001517719284,10.8188,40,1,41,3,1,20,16,816,2,818
817,36461046296.1373,36461046296,1.79769313484878E+308,0.00000000000329691829,11.4819,40,1,41,3,1,20,16,816,1,817
816,54691569444.2059,54691569444,1.79769313484878E+308,0.00000000000329691829,11.4819,40,1,41,3,1,20,16,816,0,816
815,82037354166.3089,82037354166,1.79769313484878E+308,0.00000000000329691829,11.4819,40,1,41,2,2,20,15,815,0,815
814,123056031249.4630,123056031249,1.79769313484878E+308,0.00000000000329691829,11.4819,39,2,41,3,1,20,16,812,2,814
813,184584046874.1950,184584046874,1.79769313485852E+308,0.00000000000090949470,12.0412,39,2,41,3,1,20,16,812,1,813
812,276876070311.2920,276876070311,1.79769313485852E+308,0.00000000000090949470,12.0412,39,2,41,3,1,20,16,812,0,812
811,415314105466.9390,415314105466,1.79769313485419E+308,0.00000000000198951966,11.7013,39,2,41,2,2,20,15,810,1,811
810,622971158200.4080,622971158200,1.79769313485996E+308,0.00000000000056843419,12.2453,39,2,41,2,2,20,15,810,0,810
809,934456737300.6120,934456737300,1.79769313485996E+308,0.00000000000056843419,12.2453,38,3,41,3,1,20,16,808,1,809
808,1401685105950.9200,1401685105950,1.79769313485996E+308,0.00000000000056843419,12.2453,38,3,41,3,1,20,16,808,0,808
807,2102527658926.3800,2102527658926,1.79769313486167E+308,0.00000000000017053026,12.7682,38,3,41,2,2,20,15,805,2,807
806,3153791488389.5600,3153791488389,1.79769313486167E+308,0.00000000000017053026,12.7682,38,3,41,2,2,20,15,805,1,806
805,4730687232584.3500,4730687232584,1.79769313486205E+308,0.00000000000005684342,13.2453,38,3,41,2,2,20,15,805,0,805
804,7096030848876.5200,7096030848876,1.79769313486205E+308,0.00000000000005684342,13.2453,37,4,41,3,1,20,16,804,0,804
803,10644046273314.8000,10644046273314,1.79769313486205E+308,0.00000000000005684342,13.2453,40,0,40,2,2,20,15,800,3,803
802,15966069409972.2000,15966069409972,1.79769313486228E+308,0.00000000000000000000,#NUM!,40,0,40,2,2,20,15,800,2,802
801,23949104114958.3000,23949104114958,1.79769313486228E+308,0.00000000000000000000,#NUM!,40,0,40,2,2,20,15,800,1,801
800,35923656172437.4000,35923656172437,1.79769313486228E+308,0.00000000000000000000,#NUM!,40,0,40,2,2,20,15,800,0,800
799,53885484258656.1000,53885484258656,1.79769313486231E+308,0.00000000000000000000,#NUM!,39,1,40,3,1,20,16,796,3,799
798,80828226387984.1000,80828226387984,1.79769313486231E+308,0.00000000000000000000,#NUM!,39,1,40,3,1,20,16,796,2,798
797,121242339581976.0000,121242339581976,1.79769313486231E+308,0.00000000000000000000,#NUM!,39,1,40,3,1,20,16,796,1,797
796,181863509372964.0000,181863509372964,1.79769313486231E+308,0.00000000000000000000,#NUM!,39,1,40,3,1,20,16,796,0,796
,,,,,,,,,,,,,,,
,,IEEE Max Double,1.7977E+308,,,,,,,,,,,,
,,Plasma Balance,1.3408E+154,,,,,,,,,,,,
,,Plasma Mult Max,2.6816E+154,,,,,,,,,,,,
